Category,Part,Description,Qty,Unit Price (Low),Unit Price (High),Recommended,Store,Link
Safety & Wiring,Big Red Mushroom E-Stop Button,Physical emergency stop button - normally open,1,$3,$8,Yes - CRITICAL safety item,Amazon,https://www.amazon.com/Emergency-Mushroom-Button-Switch-Station/dp/B00SLGFIHE
Enclosures,IP67 Waterproof Junction Box - 8x6x4,Main electronics enclosure,1,$13,$20,Yes,Amazon,https://www.amazon.com/Joinfworld-Cover-Waterproof-Electrical-Boxes/dp/B0CQQ7L4DC
Enclosures,IP67 Waterproof Box - Small,Secondary enclosure for RPi + camera,1,$8,$15,Yes,Amazon,https://www.amazon.com/Waterproof-Electrical-Weatherproof-Enclosure-Watertight/dp/B0CQ2WK73Z
Enclosures,PG7/PG9 Cable Gland Kit,Waterproof wire pass-through for enclosures,1,$8,$12,Yes,Amazon,https://www.amazon.com/Cable-Gland-Waterproof-Adjustable-Connectors/dp/B06Y5HGAK2
Enclosures,Conformal Coating Spray,Waterproof coating for circuit boards,1,$10,$15,Recommended,Amazon,https://www.amazon.com/MG-Chemicals-Silicone-Modified-Conformal/dp/B008O9YIV6
Misc,Piezo Buzzer 5V,Alert buzzer for low battery and alarms,1,$1,$3,Yes,Amazon,https://www.amazon.com/Cylewet-Electronic-Alarm-Arduino-CYT1008/dp/B01N7NHRO6
Misc,Dupont Jumper Wires (40pc),Prototyping wires for connecting modules,1,$4,$8,Yes,Amazon,https://www.amazon.com/EDGELEC-Breadboard-Optional-Assorted-Multicolored/dp/B07GD2BWPY
Misc,Half-Size Breadboard,Prototyping board for initial testing,1,$3,$5,Yes - for bench testing,Amazon,https://www.amazon.com/Breadboards-Solderless-Breadboard-Distribution-Connecting/dp/B07DL13RZH
Misc,Perma-Proto Board,Solderable board for final build,1,$5,$8,Yes - for permanent install,Adafruit,https://www.adafruit.com/product/1609
Misc,PVC Mounting Mast (1" x 24"),Mast for wind sensor + GPS antenna mounting,1,$3,$5,Yes - Home Depot / hardware store,Home Depot,https://www.homedepot.com/s/1%20inch%20pvc%20pipe
